stiched_unstiched,avg_rating_tot_reviews,weight,title,url,gender,brand,material,image_urls,seller,cost,images,occasion,age_group,product_location,condition
Stitched,3.7/5 (1081 reviews),0.30 kg,Batman Vs Superman T-Shirt for Men  - Black,http://www.kaymu.com.np/batman-vs-superman-t-shirt-for-men-black-1680200.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8376-0020861-1-zoom.jpg,abfancystore,Rs 750,"[{'url': 'http://static.kaymu.com.np/p/other-8376-0020861-1-zoom.jpg', 'path': 'full/cc66a3c6a079495e20d26978f59809cb04b82c88.jpg', 'checksum': 'eb25110ff6951eb2b0e5ff8aabaef068'}]",Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (14 reviews),1.00 kg,Pack Of 3 Printed T-Shirts,http://www.kaymu.com.np/pack-of-3-printed-t-shirts-1681330.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-7890-0331861-1-zoom.jpg,AsianCotton,"Rs 1,089","[{'url': 'http://static.kaymu.com.np/p/other-7890-0331861-1-zoom.jpg', 'path': 'full/40ae0bf75b500243cecb3d3673fc206661977647.jpg', 'checksum': 'aa17e3ff2d727ec8900db0c839a0deb3'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.9/5 (159 reviews),0.30 kg,Grey Armani Jeans T-Shirt,http://www.kaymu.com.np/grey-armani-jeans-t-shirt-1666932.html,Men's,,Cotton,http://static.kaymu.com.np/p/emporio-armani-0204-2396661-1-zoom.jpg,BhutriClothingStore,Rs 899,"[{'url': 'http://static.kaymu.com.np/p/emporio-armani-0204-2396661-1-zoom.jpg', 'path': 'full/60b0277b63cbf794b6dcb13764aedee6b58a24ac.jpg', 'checksum': 'ab300181cb6ae28dc1424ca6d5fd1784'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,4.1/5 (219 reviews),0.30 kg,Nike Dry Fit Pro Combat Full Sleeve T-Shirt - Red,http://www.kaymu.com.np/nike-dry-fit-pro-combat-full-sleeve-t-shirt-red-1682556.html,Men's,Other,Polyester,http://static.kaymu.com.np/p/other-4457-6552861-1-zoom.jpg,mgclassico,Rs 749,"[{'url': 'http://static.kaymu.com.np/p/other-4457-6552861-1-zoom.jpg', 'path': 'full/c805288b7a8a5dfaa9a14afcf8c705d1c84cf9ea.jpg', 'checksum': '27fd32dc14836009d6b9427855b6f244'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.5/5 (370 reviews),0.30 kg,Blue Just Do It V-Neck T-shirt,http://www.kaymu.com.np/blue-just-do-it-v-neck-t-shirt-1667278.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9471-8727661-1-zoom.jpg,shreeganeshfancy,Rs 765,"[{'url': 'http://static.kaymu.com.np/p/other-9471-8727661-1-zoom.jpg', 'path': 'full/0ac56b18dcae58a9df7b633384c2f2ca5000adb5.jpg', 'checksum': '74c3225ed6ef56c8c3663a50b18f4f9e'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (1081 reviews),0.30 kg,Men's Light Grey Long Sleeve T-Shirt,http://www.kaymu.com.np/mens-light-grey-long-sleeve-t-shirt-1680198.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8380-8910861-1-zoom.jpg,abfancystore,Rs 900,"[{'url': 'http://static.kaymu.com.np/p/other-8380-8910861-1-zoom.jpg', 'path': 'full/d97d39ccf4baff64d5773d9105552d35497e3713.jpg', 'checksum': '28e6bed8c82702afd71fd29453d94e23'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (1248 reviews),0.30 kg,Mtv Printed T-Shirt for Men,http://www.kaymu.com.np/mtv-printed-t-shirt-for-men-1675310.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-1380-0135761-1-zoom.jpg,hardikfancycollection,Rs 749,"[{'url': 'http://static.kaymu.com.np/p/other-1380-0135761-1-zoom.jpg', 'path': 'full/a28fcef1ee760489508712388bab80985bf52a2c.jpg', 'checksum': 'ed658772829e7cbda3d680fd54816a29'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.6/5 (72 reviews),0.60 kg,Pack Of 2 Teal & Blue Cedarwood Men's T-Shirts,http://www.kaymu.com.np/pack-of-2-teal-blue-cedarwood-mens-t-shirts-1682262.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-4980-2622861-1-zoom.jpg,Brandlanceapparel,Rs 850,"[{'url': 'http://static.kaymu.com.np/p/other-4980-2622861-1-zoom.jpg', 'path': 'full/1cc68973edcdfaeb89d9ff5a9dbe20f716e8e31c.jpg', 'checksum': '59b8b3a4965619514cf2c7d389247635'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.5/5 (370 reviews),0.30 kg,Red Long Sleeve V-Neck T-Shirt,http://www.kaymu.com.np/red-long-sleeve-v-neck-t-shirt-1667227.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2084-7227661-1-zoom.jpg,shreeganeshfancy,Rs 945,"[{'url': 'http://static.kaymu.com.np/p/other-2084-7227661-1-zoom.jpg', 'path': 'full/c9aa29ba7e6b9b8c4b72f429f448cd003c9c9071.jpg', 'checksum': '06766bb626723cd697ffa620c6694e6d'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (1248 reviews),0.30 kg,Grey V-Neck T-Shirt for Men,http://www.kaymu.com.np/grey-v-neck-t-shirt-for-men-1675328.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2516-8235761-1-zoom.jpg,hardikfancycollection,Rs 499,"[{'url': 'http://static.kaymu.com.np/p/other-2516-8235761-1-zoom.jpg', 'path': 'full/36b082ef0dfdce0609cb91e68ffdb92dde51e3b4.jpg', 'checksum': '0b22f5728929352cb80ae25c2cf44467'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (102 reviews),0.40 kg,Raiders Black Full Sleeve Fitting Stretchable Sports T-Shirt,http://www.kaymu.com.np/raiders-black-full-sleeve-fitting-stretchable-sports-t-shirt-1671422.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-0562-2241761-1-zoom.jpg,Ramesh impex,Rs 495,"[{'url': 'http://static.kaymu.com.np/p/other-0562-2241761-1-zoom.jpg', 'path': 'full/47d08d39d5bad01c49f7f5120666d54fc71090be.jpg', 'checksum': 'cacdc45cb320ae0c790d78ef032d390d'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.8/5 (263 reviews),0.20 kg,Round Neck Plain T-shirt Combo,http://www.kaymu.com.np/round-neck-plain-t-shirt-combo-1665744.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-3862-4475661-1-zoom.jpg,Bastra,Rs 749,"[{'url': 'http://static.kaymu.com.np/p/other-3862-4475661-1-zoom.jpg', 'path': 'full/9c000e9467e381b554714758c5071b911fb45310.jpg', 'checksum': '2fa721f23db1b781ae70bc97fdcb92c5'}]",,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (30 reviews),0.30 kg,Jon Snow Printed Black T-Shirt,http://www.kaymu.com.np/jon-snow-printed-black-t-shirt-1677661.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8587-1667761-1-zoom.jpg,CustomRUs,Rs 800,"[{'url': 'http://static.kaymu.com.np/p/other-8587-1667761-1-zoom.jpg', 'path': 'full/541175fef0c83414f5fb06bdbb4a0e010c4b82e5.jpg', 'checksum': '25fdc41dc0fa5fae52a9156faa3915fd'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (30 reviews),0.30 kg,Batman Printed T-Shirt - Black,http://www.kaymu.com.np/batman-printed-t-shirt-black-1671481.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2064-1841761-1-zoom.jpg,CustomRUs,Rs 800,"[{'url': 'http://static.kaymu.com.np/p/other-2064-1841761-1-zoom.jpg', 'path': 'full/49499126c3aab7b5f635bf7dfc63cae15462d629.jpg', 'checksum': '758da8f30d8de3b74343be02acb4d5d9'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (263 reviews),0.50 kg,Pack Of 2 Cyan Blue & Navy Blue Plain V-Neck T-shirt for Men,http://www.kaymu.com.np/pack-of-2-cyan-blue-navy-blue-plain-v-neck-t-shirt-for-men-1682141.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-3283-1412861-1-zoom.jpg,Bastra,Rs 849,"[{'url': 'http://static.kaymu.com.np/p/other-3283-1412861-1-zoom.jpg', 'path': 'full/d6d92dd7622199e1a3b4f45aca14d2df9181203a.jpg', 'checksum': 'fc0741e88ff6b9d3796fdcee6ddca242'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.5/5 (370 reviews),0.30 kg,Maroon & Black Men's Baseball T-Shirt,http://www.kaymu.com.np/maroon-black-mens-baseball-t-shirt-1678839.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-6018-9388761-1-zoom.jpg,shreeganeshfancy,Rs 855,"[{'url': 'http://static.kaymu.com.np/p/other-6018-9388761-1-zoom.jpg', 'path': 'full/4318f023be5e24c9b53c8fa7e5f413cc026b0e0e.jpg', 'checksum': '7a9a5215a377be9fa52c8007368f4501'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (1081 reviews),0.30 kg,Quarter Sleeve Black Baseball T-Shirt,http://www.kaymu.com.np/quarter-sleeve-black-baseball-t-shirt-1671439.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0980-9341761-1-zoom.jpg,abfancystore,Rs 700,"[{'url': 'http://static.kaymu.com.np/p/other-0980-9341761-1-zoom.jpg', 'path': 'full/1fb5284a0805cde71584b6316b728b832fff8901.jpg', 'checksum': 'a3bc3446578e98f4c45657f735df506f'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (1081 reviews),0.30 kg,Red Baseball T-Shirt,http://www.kaymu.com.np/red-baseball-t-shirt-1671437.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0923-7341761-1-zoom.jpg,abfancystore,Rs 950,"[{'url': 'http://static.kaymu.com.np/p/other-0923-7341761-1-zoom.jpg', 'path': 'full/93147a72be6492913e04a7fc437149869360449a.jpg', 'checksum': 'fb948b728d3b2ff29cfbb654751d47a7'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (30 reviews),0.30 kg,Liverpool Printed T-Shirt (Red),http://www.kaymu.com.np/liverpool-printed-t-shirt-red-1671494.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2306-4941761-1-zoom.jpg,CustomRUs,Rs 800,"[{'url': 'http://static.kaymu.com.np/p/other-2306-4941761-1-zoom.jpg', 'path': 'full/494fa8419284e92fe99f0809c48d320fafb416da.jpg', 'checksum': 'e480564f3796e7f7478cb81e0678b5c7'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
