stiched_unstiched,avg_rating_tot_reviews,weight,title,url,gender,brand,material,image_urls,seller,cost,link,images,occasion,age_group,product_location,condition
Stitched,3.7/5 (659 reviews),0.50 kg,Pack of 3 V-Neck T-Shirts for Men,http://www.kaymu.com.np/pack-of-3-v-neck-t-shirts-for-men-1670931.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0967-1390761-1-zoom.jpg,D2fancy,Rs 650,,,Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (30 reviews),0.30 kg,Jon Snow Printed T-Shirts (White),http://www.kaymu.com.np/jon-snow-printed-t-shirts-white-1677660.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8421-0667761-1-zoom.jpg,CustomRUs,Rs 800,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (1081 reviews),0.30 kg,Red Baseball T-Shirt,http://www.kaymu.com.np/red-baseball-t-shirt-1671437.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0923-7341761-1-zoom.jpg,abfancystore,Rs 950,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (1081 reviews),0.30 kg,Superman Printed Men's Black T-Shirt,http://www.kaymu.com.np/superman-printed-mens-black-t-shirt-1671301.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8249-1031761-1-zoom.jpg,abfancystore,Rs 700,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.20 kg,Pack of 2 White & Black V Neck T-Shirts,http://www.kaymu.com.np/pack-of-2-white-black-v-neck-t-shirts-1670933.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-1224-3390761-1-zoom.jpg,D2fancy,Rs 450,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,4/5 (54 reviews),0.30 kg,Green Buttoned V-Neck T-shirt,http://www.kaymu.com.np/green-buttoned-v-neck-t-shirt-1682060.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-3859-0602861-1-zoom.jpg,AnandaImportAndExport,Rs 725,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.20 kg,Pack of 2 V-Neck T-Shirts for Men,http://www.kaymu.com.np/pack-of-2-v-neck-t-shirts-for-men-1670932.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-1119-2390761-1-zoom.jpg,D2fancy,Rs 450,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (1081 reviews),0.30 kg,Quarter Sleeve Grey Baseball T-Shirt,http://www.kaymu.com.np/quarter-sleeve-grey-baseball-t-shirt-1671302.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8254-2031761-1-zoom.jpg,abfancystore,Rs 700,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.10 kg,Pack of 2 V-Neck T-shirts for Men,http://www.kaymu.com.np/pack-of-2-v-neck-t-shirts-for-men-1683494.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-9284-4943861-1-zoom.jpg,D2fancy,Rs 500,,,Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (1081 reviews),0.30 kg,Black V-Neck T-Shirt,http://www.kaymu.com.np/black-v-neck-t-shirt-258714.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-1448-417852-1-zoom.jpg,abfancystore,Rs 970,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (1081 reviews),0.30 kg,Quarter Sleeve Black Baseball T-Shirt,http://www.kaymu.com.np/quarter-sleeve-black-baseball-t-shirt-1671439.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0980-9341761-1-zoom.jpg,abfancystore,Rs 700,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.5/5 (368 reviews),0.25 kg,Nepal Flag Printed T-shirt,http://www.kaymu.com.np/nepal-flag-printed-t-shirt-266949.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-2728-949662-1-zoom.jpg,shreeganeshfancy,Rs 765,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (1248 reviews),0.30 kg,Men's Bhairab Printed T-shirt,http://www.kaymu.com.np/mens-bhairab-printed-t-shirt-1681636.html,Unisex,Other,Cotton,http://static.kaymu.com.np/p/other-3598-6361861-1-zoom.jpg,hardikfancycollection,Rs 750,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (30 reviews),0.30 kg,Jon Snow Printed Black T-Shirt,http://www.kaymu.com.np/jon-snow-printed-black-t-shirt-1677661.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8587-1667761-1-zoom.jpg,CustomRUs,Rs 800,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (1248 reviews),0.30 kg,Men's Cotton Stripped T-Shirt,http://www.kaymu.com.np/mens-cotton-stripped-t-shirt-1679451.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-4612-1549761-1-zoom.jpg,hardikfancycollection,Rs 750,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.10 kg,Pack of 2 V-Neck T-shirts for Men,http://www.kaymu.com.np/pack-of-2-v-neck-t-shirts-for-men-1683490.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-8825-0943861-1-zoom.jpg,D2fancy,Rs 500,,,Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.10 kg,Pack of 4 V-neck  T-shirts for Men,http://www.kaymu.com.np/pack-of-4-v-neck-t-shirts-for-men-1683705.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-8663-5073861-1-zoom.jpg,D2fancy,Rs 950,,,Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (263 reviews),0.60 kg,Pack Of 2 Plain T-Shirts for Men,http://www.kaymu.com.np/pack-of-2-plain-t-shirts-for-men-1664256.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-3287-6524661-1-zoom.jpg,Bastra,Rs 749,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (11 reviews),0.25 kg,Legendary Printed T-Shirt - Black,http://www.kaymu.com.np/legendary-printed-t-shirt-black-254559.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-5707-955452-1-zoom.jpg,ashishmittal,Rs 950,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.60 kg,Pack Of 2 Black and White Full Sleeve V-Neck T-shirt,http://www.kaymu.com.np/pack-of-2-black-and-white-full-sleeve-v-neck-t-shirt-1670673.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8770-3760761-1-zoom.jpg,D2fancy,Rs 550,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.60 kg,Pack Of 2 Grey and White Full Sleeve V-Neck T-Shirt,http://www.kaymu.com.np/pack-of-2-grey-and-white-full-sleeve-v-neck-t-shirt-1670672.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8766-2760761-1-zoom.jpg,D2fancy,Rs 550,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (263 reviews),0.50 kg,Pack Of 2 Navy Blue & Grey Plain V-Neck T-shirt for Men,http://www.kaymu.com.np/pack-of-2-navy-blue-grey-plain-v-neck-t-shirt-for-men-1682112.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-1423-2112861-1-zoom.jpg,Bastra,Rs 849,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),1.00 kg,Pack of 4 Round Neck T-Shirt for Men,http://www.kaymu.com.np/pack-of-4-round-neck-t-shirt-for-men-1683696.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-6515-6963861-1-zoom.jpg,D2fancy,Rs 850,,,Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
,4.4/5 (5 reviews),0.30 kg,Born To Be Wild Printed T-Shirt (Grey),http://www.kaymu.com.np/born-to-be-wild-printed-t-shirt-grey-1675400.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2750-0045761-1-zoom.jpg,UniqueWizard,Rs 699,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.30 kg,White Ganesh Printed T-shirt for Men,http://www.kaymu.com.np/white-ganesh-printed-t-shirt-for-men-1682329.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-3254-9232861-1-zoom.jpg,D2fancy,Rs 250,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),1.00 kg,Pack Of 3 T-shirts for Men,http://www.kaymu.com.np/pack-of-3-t-shirts-for-men-1682416.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8967-6142861-1-zoom.jpg,D2fancy,Rs 650,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (30 reviews),0.30 kg,Ghar Printed T-Shirt in Beige,http://www.kaymu.com.np/ghar-printed-t-shirt-in-beige-1683254.html,Unisex,Other,Cotton,http://static.kaymu.com.np/p/other-0350-4523861-1-zoom.jpg,CustomRUs,Rs 900,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
